,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
57,10017,1.0,2018-07,3330.0,2018-07-01,7,3,2018,2018-06-01,3319.0,953.0,872.0
58,10017,2.0,2018-07,4250.0,2018-07-01,7,3,2018,2018-06-01,4400.0,616.0,615.0
59,10017,3.0,2018-07,5875.0,2018-07-01,7,3,2018,2018-06-01,5900.0,292.0,274.0
60,10018,0.0,2018-07,2690.0,2018-07-01,7,3,2018,2018-06-01,2690.0,398.0,412.0
61,10018,1.0,2018-07,3400.0,2018-07-01,7,3,2018,2018-06-01,3440.0,660.0,665.0
62,10018,2.0,2018-07,4200.0,2018-07-01,7,3,2018,2018-06-01,4400.0,455.0,469.0
63,10018,3.0,2018-07,5500.0,2018-07-01,7,3,2018,2018-06-01,5500.0,166.0,163.0
64,10019,0.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2295.0,303.5,302.5
65,10019,1.0,2018-07,4874.0,2018-07-01,7,3,2018,2018-06-01,4475.0,666.5,666.5
66,10019,2.0,2018-07,6950.0,2018-07-01,7,3,2018,2018-06-01,6600.0,410.5,397.0
67,10019,3.0,2018-07,6000.0,2018-07-01,7,3,2018,2018-06-01,6963.0,242.0,226.5
68,10021,0.0,2018-07,2050.0,2018-07-01,7,3,2018,2018-06-01,2050.0,802.0,800.0
69,10021,1.0,2018-07,2795.0,2018-07-01,7,3,2018,2018-06-01,2800.0,1354.0,1405.0
70,10021,2.0,2018-07,3497.0,2018-07-01,7,3,2018,2018-06-01,3400.0,946.0,900.0
71,10021,3.0,2018-07,6800.0,2018-07-01,7,3,2018,2018-06-01,7375.0,463.0,444.0
72,10022,0.0,2018-07,2495.0,2018-07-01,7,3,2018,2018-06-01,2450.0,599.0,592.0
73,10022,1.0,2018-07,3330.0,2018-07-01,7,3,2018,2018-06-01,3319.0,953.0,872.0
74,10022,2.0,2018-07,4250.0,2018-07-01,7,3,2018,2018-06-01,4400.0,616.0,615.0
75,10022,3.0,2018-07,5875.0,2018-07-01,7,3,2018,2018-06-01,5900.0,292.0,274.0
76,10023,0.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2295.0,598.0,583.0
77,10023,1.0,2018-07,3050.0,2018-07-01,7,3,2018,2018-06-01,3100.0,1309.0,1305.0
78,10023,2.0,2018-07,4400.0,2018-07-01,7,3,2018,2018-06-01,4500.0,792.0,763.0
79,10023,3.0,2018-07,6000.0,2018-07-01,7,3,2018,2018-06-01,6963.0,477.0,446.0
80,10024,0.0,2018-07,2300.0,2018-07-01,7,3,2018,2018-06-01,2295.0,598.0,583.0
